Seed,Method,Iteration,NRMSE,PSNRdB,SupportSpectrumError,PoissonNLL,ElapsedSeconds,StepSize
7,RL,0,0.734728229698911,32.1343791105761,0.593274295245414,16698.0326623037,0,0
7,RL,1,0.690410735776226,32.6747629233979,0.530807347324308,14451.7636971457,0.0405913,1
7,RL,2,0.665700285536956,32.9913387781338,0.496882368928427,13739.1373889167,0.0541574,1
7,RL,3,0.647094889445325,33.2375542445289,0.471890563149412,13347.6956392821,0.0691119,1
7,RL,4,0.631704467276288,33.4466346799598,0.451517110111984,13085.8739399829,0.0839011,1
7,RL,5,0.618494008140802,33.6302037104155,0.43420603530632,12892.9123713388,0.104667,1
7,RL,6,0.606949700407103,33.7938596150425,0.41919149454068,12741.774629747,0.1168946,1
7,RL,7,0.596755846342523,33.9409799942131,0.406011911603873,12618.2499441362,0.1288592,1
7,RL,8,0.587691778622901,34.0739213368721,0.394351435068973,12514.0963839074,0.1396758,1
7,RL,9,0.579591358007734,34.1944756167215,0.383976449817177,12424.1911746267,0.1513138,1
7,RL,10,0.572323936334668,34.3040754465897,0.374705607144392,12345.1732031066,0.1628313,1
7,RL,11,0.565783939976249,34.403901329627,0.366393641815228,12274.7363393577,0.1750653,1
7,RL,12,0.559884454328474,34.4949454607013,0.358921646949229,12211.2370620143,0.1864853,1
7,RL,13,0.554552923370009,34.5780536617253,0.352190730369376,12153.4652450932,0.1990082,1
7,RL,14,0.549728095925271,34.6539549670116,0.346117617058353,12100.5044661158,0.2096504,1
7,RL,15,0.545357771369772,34.7232835181989,0.340631462573522,12051.6436918624,0.2221707,1
7,RL,16,0.541397090449139,34.7865952932681,0.335671468500819,12006.319598185,0.2349774,1
7,RL,17,0.537807214287537,34.8443811694451,0.331185055463327,11964.077776577,0.2467785,1
7,RL,18,0.534554288417757,34.8970772830185,0.327126438237273,11924.5459388296,0.25774,1
7,RL,19,0.531608620725676,34.945073343221,0.323455498991593,11887.4149538702,0.2695106,1
7,RL,20,0.528944022583314,34.9887193691678,0.320136886208291,11852.4251266151,0.2818322,1
7,RL,21,0.526537276063792,35.0283311953813,0.31713928718606,11819.3560670613,0.293343,1
7,RL,22,0.524367699587211,35.0641950061847,0.314434835732321,11788.0190713474,0.303925,1
7,RL,23,0.52241679109865,35.0965710981045,0.311998626210022,11758.2512954319,0.3146858,1
7,RL,24,0.520667932804624,35.1256970243501,0.309808311968285,11729.9112316566,0.3257516,1
7,RL,25,0.51910614514725,35.1517902415589,0.307843771222773,11702.8751484036,0.3372965,1
7,RL,26,0.517717880435166,35.1750503531807,0.306086827213136,11677.034252862,0.349836,1
7,RL,27,0.516490848629946,35.1956610240132,0.304521012312531,11652.2924045787,0.3624419,1
7,RL,28,0.515413869374548,35.2137916250039,0.303131367943222,11628.5642541105,0.3735255,1
7,RL,29,0.514476745575034,35.2295986554364,0.301904273834124,11605.7737137794,0.3838531,1
7,RL,30,0.513670154793805,35.2432269802287,0.300827301463363,11583.8526907786,0.3946782,1
7,RL,31,0.512985555452643,35.2548109126914,0.299889087551084,11562.7400296559,0.4060419,1
7,RL,32,0.512415105422238,35.2644751672764,0.299079224270949,11542.380623467,0.4184832,1
7,RL,33,0.511951591031586,35.2723357022423,0.29838816348293,11522.724661981,0.4310781,1
7,RL,34,0.511588364891658,35.278500468511,0.297807132792776,11503.7269921275,0.4443585,1
7,RL,35,0.511319291215856,35.2830700780796,0.297328061643694,11485.3465710404,0.4577133,1
7,RL,36,0.511138697548983,35.2861384030245,0.296943515965618,11467.5459960004,0.4702238,1
7,RL,37,0.511041332002401,35.2877931142697,0.296646640163931,11450.2910986407,0.4811546,1
7,RL,38,0.511022325241488,35.2881161677831,0.29643110543622,11433.5505931596,0.4933715,1
7,RL,39,0.51107715659372,35.2871842446521,0.296291063572659,11417.2957701654,0.5065355,1
7,RL,40,0.511201623744321,35.2850691504921,0.29622110553139,11401.5002292663,0.5190572,1
7,RL,41,0.51139181556788,35.2818381788371,0.296216224190962,11386.139644707,0.5315443,1
7,RL,42,0.511644087711237,35.2775544424924,0.296271780772557,11371.1915593164,0.5431586,1
7,RL,43,0.511955040598831,35.2722771762802,0.296383474499432,11356.6352028008,0.5541916,1
7,RL,44,0.512321499577506,35.2660620141504,0.296547315122794,11342.4513310562,0.5660799,1
7,RL,45,0.512740496957076,35.2589612432457,0.296759597994633,11328.6220836875,0.5771687,1
7,RL,46,0.513209255734919,35.2510240371908,0.297016881410983,11315.1308573531,0.5876444,1
7,RL,47,0.513725174821046,35.2422966705978,0.297315965985134,11301.962192906,0.5986279,1
7,RL,48,0.514285815602844,35.2328227165535,0.297653875840691,11289.1016745998,0.6099454,1
7,RL,49,0.514888889709251,35.2226432286505,0.298027841440231,11276.5358398725,0.6214667,1
7,RL,50,0.515532247850526,35.2117969089559,0.298435283887328,11264.2520984306,0.6327173,1
7,RL,51,0.516213869625027,35.2003202631624,0.298873800558543,11252.2386595286,0.6439385,1
7,RL,52,0.516931854196697,35.1882477440366,0.299341151938272,11240.4844664908,0.6560877,1
7,RL,53,0.517684411758046,35.1756118841683,0.299835249543358,11228.9791376428,0.6695129,1
7,RL,54,0.518469855703067,35.1624434189229,0.300354144836607,11217.7129129336,0.6817915,1
7,RL,55,0.519286595442369,35.1487714004151,0.300896019039019,11206.6766056152,0.6939346,1
7,RL,56,0.520133129800917,35.1346233032404,0.30145917375984,11195.8615584298,0.7092881,1
7,RL,57,0.521008040944193,35.1200251226365,0.302042022371797,11185.2596038196,0.7207278,1
7,RL,58,0.521909988784727,35.1050014656815,0.302643082066085,11174.8630277346,0.7329641,1
7,RL,59,0.522837705826158,35.0895756360834,0.303260966528112,11164.6645366638,0.745472,1
7,RL,60,0.523789992405376,35.0737697130651,0.30389437918069,11154.6572275576,0.7586196,1
7,RL,61,0.524765712298509,35.057604624806,0.30454210694643,11144.8345603513,0.7704924,1
7,RL,62,0.525763788658584,35.0411002168587,0.305203014485625,11135.1903328272,0.7837016,1
7,RL,63,0.526783200256858,35.0242753159274,0.305876038869955,11125.7186575886,0.7969519,1
7,RL,64,0.527822978002018,35.0071477893584,0.306560184655963,11116.4139409377,0.8092961,1
7,RL,65,0.528882201713752,34.9897346006656,0.307254519325541,11107.270863478,0.821646,1
7,RL,66,0.529959997129802,34.9720518613873,0.30795816906356,11098.2843622756,0.833758,1
7,RL,67,0.531055533127359,34.9541148795439,0.308670314845454,11089.4496144367,0.8447938,1
7,RL,68,0.532168019141124,34.9359382049485,0.309390188809935,11080.7620219689,0.8580367,1
7,RL,69,0.533296702762639,34.9175356715967,0.310117070894194,11072.2171978106,0.870164,1
7,RL,70,0.534440867506089,34.8989204373483,0.310850285710864,11063.8109529244,0.8831001,1
7,RL,71,0.535599830727562,34.8801050210947,0.311589199647836,11055.5392843584,0.8947081,1
7,RL,72,0.536772941686029,34.8611013375899,0.312333218173581,11047.3983641932,0.9067761,1
7,RL,73,0.537959579734656,34.8419207301111,0.313081783332121,11039.3845292956,0.9192618,1
7,RL,74,0.539159152632841,34.8225740010996,0.313834371413094,11031.4942718122,0.9318354,1
7,RL,75,0.54037109496965,34.8030714409238,0.314590490783599,11023.724230339,0.9449428,1
7,RL,76,0.541594866690284,34.7834228548923,0.315349679869554,11016.0711817122,0.9587433,1
7,RL,77,0.54282995171792,34.7636375886383,0.316111505275353,11008.5320333672,0.971577,1
7,RL,78,0.544075856663992,34.7437245519842,0.316875560031483,11001.1038162217,0.9832673,1
7,RL,79,0.545332109620177,34.7236922413912,0.31764146196063,10993.7836780389,0.9949501,1
7,RL,80,0.546598259026528,34.7035487610857,0.31840885215351,10986.5688772337,1.0069404,1
7,RL,81,0.547873872609976,34.6833018429536,0.319177393546437,10979.4567770873,1.0194422,1
7,RL,82,0.54915853638832,34.6629588652806,0.319946769593183,10972.4448403378,1.0309958,1
7,RL,83,0.55045185373521,34.642526870416,0.320716683024355,10965.5306241179,1.043229,1
7,RL,84,0.551753444501492,34.6220125814297,0.321486854687973,10958.7117752147,1.055944,1
7,RL,85,0.55306294418951,34.6014224178263,0.322257022465478,10951.9860256257,1.0682016,1
7,RL,86,0.554380003176181,34.5807625103777,0.323026940257809,10945.3511883901,1.081556,1
7,RL,87,0.555704285982114,34.5600387151292,0.323796377036616,10938.8051536752,1.0949163,1
7,RL,88,0.557035470583029,34.5392566266325,0.324565115956047,10932.345885099,1.1078235,1
7,RL,89,0.558373247761168,34.5184215904522,0.325332953520901,10925.9714162724,1.1214535,1
7,RL,90,0.559717320493811,34.4975387149926,0.326099698807243,10919.6798475448,1.1352618,1
7,RL,91,0.561067403376347,34.4766128826858,0.326865172731869,10913.4693429407,1.1487387,1
7,RL,92,0.562423222077974,34.4556487605799,0.327629207367312,10907.338127271,1.1612098,1
7,RL,93,0.56378451282755,34.4346508103649,0.328391645299262,10901.2844834101,1.1739968,1
7,RL,94,0.565151021927939,34.4136232978687,0.329152339023562,10895.3067497255,1.1869941,1
7,RL,95,0.566522505296846,34.3925703020563,0.329911150380129,10889.4033176508,1.1981233,1
7,RL,96,0.567898728032623,34.3714957235605,0.330667950021323,10883.5726293919,1.2115038,1
7,RL,97,0.569279464003352,34.3504032927724,0.33142261691249,10877.8131757581,1.2241339,1
7,RL,98,0.570664495457889,34.3292965775182,0.332175037862573,10872.1234941094,1.2365525,1
7,RL,99,0.572053612657319,34.3081789903438,0.332925107082797,10866.5021664139,1.2498752,1
7,RL,100,0.573446613525855,34.2870537954332,0.333672725771627,10860.9478174058,1.2620026,1
7,RL,101,0.574843303319769,34.2659241151788,0.334417801724289,10855.4591128414,1.2744634,1
7,RL,102,0.576243494313354,34.2447929364251,0.335160248965268,10850.0347578422,1.2867252,1
7,RL,103,0.577647005500907,34.2236631164036,0.335899987402334,10844.6734953248,1.2993348,1
7,RL,104,0.579053662313822,34.2025373883763,0.336636942500701,10839.374104508,1.3125863,1
7,RL,105,0.5804632963518,34.1814183670037,0.33737104497608,10834.1353994954,1.3246445,1
7,RL,106,0.581875745127494,34.1603085534536,0.338102230505406,10828.9562279276,1.3365426,1
7,RL,107,0.583290851823675,34.1392103402629,0.338830439454163,10823.8354696997,1.3481852,1
7,RL,108,0.584708465062311,34.1181260159686,0.339555616619256,10818.7720357414,1.360579,1
7,RL,109,0.586128438684816,34.0970577695175,0.340277710986484,10813.7648668548,1.3737642,1
7,RL,110,0.587550631542904,34.0760076944692,0.340996675501709,10808.8129326079,1.3855931,1
