Method,Seed,FixedIteration,NRMSE,PSNRdB,SupportSpectrumError,PoissonNLL,ElapsedSeconds
RL,2,38,0.513625085211544,35.2439891163751,0.300755413514014,13898.4011648443,0.4378352
RL,5,38,0.523028927472501,35.0863994564785,0.301311485185305,12675.4958559657,0.4600803
RL,13,38,0.522457352171255,35.0958967412878,0.304384487109127,12905.7318404697,0.4489625
RL,17,38,0.509450073327466,35.314881061049,0.29158913972013,12233.8138315612,0.46831
RL,23,38,0.517915296684364,35.1717388799448,0.297672105978912,11896.639477403,0.4814974
RL,31,38,0.512476161332118,35.2634402772101,0.299647325402702,12521.5420108063,0.4640101
RL,43,38,0.515815967496572,35.2070180039087,0.293321594650347,13331.3071267643,0.4266152
RL,59,38,0.520688299586,35.1253572681556,0.298374126148935,12354.9633429041,0.4232458
RL,73,38,0.526802430973874,35.0239582351309,0.305422828328873,13408.4498882618,0.4464196
RL,89,38,0.514635408472981,35.2269203692523,0.292935302695397,12180.3646774126,0.4195574
RL,101,38,0.518839985373422,35.1562448744231,0.297253972535724,12797.2582550004,0.4217668
RL,127,38,0.526957583748858,35.0214004613085,0.312862058218477,11754.8571106434,0.4423121
OMW,2,4,0.631475903384111,33.4497779852398,0.416333211247851,14736.5148123513,0.0516913
OMW,5,4,0.638635279277489,33.3518555224364,0.423487698126979,13642.5729058618,0.0450682
OMW,13,4,0.612784834665645,33.7107534679454,0.398829646326288,13678.7029303314,0.0470435
OMW,17,4,0.613949467280518,33.6942611054433,0.406284672705,13030.7214799221,0.0507831
OMW,23,4,0.605737866047209,33.8112191778922,0.398719237969064,12759.0294620816,0.049156
OMW,31,4,0.63530282130844,33.3972979629315,0.42161224223181,13373.2484033747,0.0451852
OMW,43,4,0.616587533928093,33.6570188431778,0.402511082332636,14144.5842116261,0.046286
OMW,59,4,0.616652938100218,33.6560975412348,0.404099872561064,13152.8196186205,0.0453287
OMW,73,4,0.639304503354876,33.3427583692063,0.422703617193106,14323.9883021583,0.0443551
OMW,89,4,0.61231744032084,33.7173810548439,0.404205476373393,13191.5601100441,0.0435263
OMW,101,4,0.614965698859209,33.6798957894402,0.396273240454372,13590.4683556837,0.0438946
OMW,127,4,0.596556886715117,33.9438763705515,0.393407537266205,12450.2606942774,0.0515372
Damped Newton,2,3,0.686331347559586,32.7262369358055,0.5087736757291,16070.0397386016,1.0528834
