MethodA,MethodB,N,MeanPairedDeltaNRMSE,CI95HalfWidth,MeanRelativeImprovementPercent,RawP,PairedHedgesG,HolmAdjustedP
Half whitening,RL,12,-0.0127366020454976,0.00175149335802843,1.9905923702901,0.00048828125,-4.29796734881215,0.0029296875
Half whitening,OMW,12,0.00692140395087499,0.00956485773844593,-1.16562785532611,0.17626953125,0.427694542553015,0.17626953125
Half whitening,Full whitening,12,-0.0312898692663415,0.0117511837890958,4.69031100246214,0.0009765625,-1.57376599464197,0.0029296875
Half whitening,SCR-RL,12,0.146208274573544,0.00765263667592744,-30.5115649136452,0.00048828125,11.2922083921395,0.0029296875
SCR-RL,RL,12,-0.158944876619042,0.00811060275080906,24.8616856976895,0.00048828125,-11.5827432614671,0.0029296875
SCR-RL,OMW,12,-0.139286870622669,0.00406597822412569,22.4808654573667,0.00048828125,-20.2471154789756,0.0029296875
