Q,Alpha,Gamma,TVWeight,BestIteration,BestNRMSE,BestPSNRdB,BestSpectrumError,FinalPoissonNLL
0.75,0.002,1,0,3,0.527159864664761,35.0180668864101,0.318221595302767,11575.4149251024
0.75,0.05,1,0,12,0.527248615648214,35.0166046803225,0.33726463590703,11720.7210261953
0.5,0.01,1,0,12,0.527933894202884,35.0053227368133,0.338184664939399,11789.5441129001
0.5,0.004,0.8,0,30,0.528282913399377,34.9995823579235,0.350050797167477,11404.0360908997
1,0.01,1,0.05,1,0.531528331474417,34.9463852787633,0.343631139653286,12418.9631926364
0.4,0.0005,0.8,0,30,0.531882993300392,34.9405915590206,0.351714660507379,11472.6172019619
0.75,0.01,1,0,11,0.532044233669191,34.9379588299696,0.334497048533217,11608.3192645142
0.4,0.001,0.8,0,30,0.53255532414577,34.9296190259876,0.352014800993778,11482.0575838559
0.4,0.002,0.8,0,30,0.533636135771702,34.9120090299017,0.352569215505942,11497.4042454935
0.4,0.004,0.8,0,30,0.535318836002631,34.8846631435769,0.353569163100281,11520.9568504248
1,0.05,1,0,11,0.539391781264836,34.8188271467007,0.342934712259037,11681.0156123642
1,0.002,1,0.05,1,0.541949129849146,34.7777431763185,0.382581846009384,12484.8319234178
0.5,0.05,1,0,12,0.543834761968213,34.7475743571397,0.355242928568047,11955.5295681857
1,0.01,0.5,0,12,0.553592879065398,34.593103740777,0.370222912397762,11440.2688258652
0.25,0.002,1,0,12,0.556168314425644,34.5527887836498,0.371043194186654,12123.9945004652
1,0.002,0.5,0,12,0.557299776831765,34.5351362598838,0.368816679076113,11416.548418569
0.75,0.002,0.5,0,12,0.560390449004955,34.4870991469027,0.38123905307843,11454.9837083063
0.25,0.01,1,0,12,0.561277209746243,34.4733654754739,0.377027950938443,12164.0820629459
1,0.002,1,0,1,0.561549714870773,34.4691494214551,0.412269082588181,11553.035375641
0.75,0.002,1,0.05,1,0.568167570799534,34.3673848038907,0.385560048515042,12536.243372452
0.75,0.01,0.5,0,12,0.57012019647071,34.3375851201766,0.390358263338105,11557.5988607811
0.25,0.05,1,0,12,0.571469091545913,34.3170587201267,0.38959989543289,12254.5485244607
1,0.05,0.5,0,12,0.57228847117022,34.3046137012907,0.392012551640983,11577.1879673161
1,0.05,1,0.05,1,0.587230015315756,34.0807487280261,0.408909606520384,12547.933463596
0.75,0.05,0.5,0,12,0.591090827431337,34.0238292427056,0.414011801138442,11786.9647830525
0.5,0.002,0.5,0,12,0.591797382735547,34.0134528401468,0.416201003174424,11789.6539904073
0.75,0.01,1,0.05,1,0.592151407440587,34.0082583255962,0.417380851825194,12549.4559098276
0.5,0.01,0.5,0,12,0.599668623987372,33.8986871194409,0.425352862797494,11887.0657607916
0.5,0.002,1,0.05,7,0.610278222455063,33.7463561907697,0.449830922583068,12517.4926990641
0.5,0.01,1,0.05,8,0.610395270787055,33.7446904400135,0.449938104102332,12554.7882604832
0.5,0.05,1,0.05,12,0.610499602126487,33.7432059379121,0.450734470567644,12644.9552536485
0.25,0.002,1,0.05,12,0.611283931486162,33.7320540456064,0.452477731618279,12760.1003123743
0.75,0.05,1,0.05,7,0.611697296511998,33.7261824213342,0.449467767980076,12526.8983419474
0.25,0.01,1,0.05,12,0.612247280703614,33.7183763451416,0.453400919113152,12786.887850255
0.25,0.05,1,0.05,12,0.614703710331031,33.6835969524677,0.456221222385504,12850.6362738577
0.5,0.05,0.5,0,12,0.615212300655526,33.6764134380782,0.444957909656444,12088.8969236045
0.25,0.002,0.5,0,12,0.63060025477321,33.461830805297,0.466129875337961,12323.5007925065
1,0.01,0.5,0.05,4,0.631419252652877,33.4505572454933,0.470556188297119,12364.2843546432
0.25,0.01,0.5,0,12,0.633498233473075,33.4220054791971,0.469862908590591,12368.3418034078
1,0.002,0.5,0.05,2,0.634692365615577,33.4056481539244,0.470442020152079,12602.6985978083
1,0.05,0.5,0.05,12,0.635159585095477,33.3992565158757,0.480902231977074,12184.3814685479
0.75,0.01,0.5,0.05,10,0.636499075998133,33.3809580922332,0.482665296856905,12175.9977072569
0.75,0.002,0.5,0.05,6,0.63690636030617,33.37540192517,0.481876707735827,12202.6002506842
0.75,0.05,0.5,0.05,12,0.636963358940468,33.3746246339921,0.482699598174682,12248.1343035692
0.5,0.002,0.5,0.05,12,0.639055352236145,33.3461441124904,0.486568100356232,12261.5880849704
