Method,N,MeanOracleNRMSE,CI95HalfWidth,SDOracleNRMSE,MedianOracleNRMSE,MeanBestIteration,MeanPSNRdB,MeanSupportSpectrumError
SCR-RL,12,0.439093714176,0.0050617041849131,0.00796654968885704,0.438054666162612,14.1666666666667,36.607076801657,0.338595876921079
Full whitening,12,0.447105727044607,0.00392842656021409,0.006182898930414,0.446740641160881,104,36.4494684825147,0.233199435615127
Half whitening,12,0.447601616394498,0.00388041149924502,0.00610732865703379,0.447269145649282,127.333333333333,36.4398198230819,0.230445701844698
RL,12,0.51850181230578,0.00354159320490539,0.00557406699678196,0.518328236890205,38.3333333333333,35.1623679990662,0.299516523119105
Log-SGD,12,0.552530888915164,0.0137902357561286,0.0217042708065994,0.557504329746558,16.3333333333333,34.6160255591437,0.288998276112418
OMW,12,0.614340698111461,0.00761713321926856,0.0119885058591168,0.612192592322389,4.66666666666667,33.6902371622179,0.404609378407176
Damped Newton,12,0.691994279571165,0.00250069944193416,0.00393581798407834,0.69103477774857,1,32.6549922689283,0.510302928336325
