Method,FixedIteration,N,MeanNRMSE,CI95HalfWidth,SDNRMSE,MedianNRMSE,Q1NRMSE,Q3NRMSE,MeanPSNRdB,MeanSupportSpectrumError,MeanPoissonNLL,MeanElapsedSeconds
SCR-RL,12,12,0.440029465098639,0.00539832241917053,0.00849634870346167,0.438551975318119,0.434187559080575,0.44663531775963,36.5887566155946,0.340788374240726,12593.6517855501,0.172562983333333
Full whitening,99,12,0.447994375097292,0.00411306281991966,0.0064734955128246,0.447721222261883,0.444493851234009,0.450613302546709,36.432291701981,0.232216817951507,13169.5608710339,3.05229158333333
Half whitening,131,12,0.448190040185504,0.00403357333348221,0.00634838805487928,0.447614222776659,0.445094657002,0.450533468048698,36.4284659989885,0.2298801151427,13160.1317807244,3.77168450833333
RL,38,12,0.518557714320913,0.00356307311706148,0.00560787394820631,0.518377641028893,0.514130246842262,0.522743139821878,35.1614370620437,0.299627486623995,12663.2353818364,0.445051033333333
Log-SGD,16,12,0.565123904599062,0.0208825662941792,0.0328667966234154,0.566371090656582,0.54680659633737,0.576761552552155,34.427290677285,0.288402162434741,13968.5791690298,0.441456516666667
OMW,4,12,0.619522597770147,0.00863547171970533,0.0135912554405692,0.615776616393651,0.612551137493242,0.633389362346275,33.6176827658619,0.407372294565647,13506.2059405277,0.0469879333333333
Damped Newton,3,12,0.691994279571165,0.00250069944193416,0.00393581798407834,0.69103477774857,0.689320126528344,0.694903281849854,32.6549922689283,0.510302928336325,14820.9245602087,1.07147820833333
