MethodA,MethodB,N,MeanPairedDeltaNRMSE,CI95HalfWidth,MeanRelativeImprovementPercent,RawP,PairedHedgesG,HolmAdjustedP
Half whitening,RL,12,-0.0703676741354091,0.00457734523504024,13.5639564886717,0.00048828125,-9.08610088057391,0.0029296875
Half whitening,OMW,12,-0.171332557584643,0.00663643120276309,27.6374763172822,0.00048828125,-15.2589035682226,0.0029296875
Half whitening,Full whitening,12,0.000195665088211228,0.0004832161513133,-0.0441877810026146,0.6220703125,0.239326025299271,0.6220703125
Half whitening,SCR-RL,12,0.00816057508686483,0.00492134094017846,-1.87699274674817,0.00927734375,0.980066036246843,0.0185546875
SCR-RL,RL,12,-0.0785282492222739,0.00441122216630869,15.1439321990275,0.00048828125,-10.521678103982,0.0029296875
SCR-RL,OMW,12,-0.179493132671508,0.00692735019703399,28.9577645448842,0.00048828125,-15.3143553957743,0.0029296875
