Method,Seed,FixedIteration,NRMSE,PSNRdB,SupportSpectrumError,PoissonNLL,ElapsedSeconds
Log-SGD,73,4,0.640562860775465,33.3256785412354,0.455418446262979,15892.6376054871,0.1101919
Log-SGD,89,4,0.642668086346823,33.2971789583315,0.453017948412234,14674.1444633533,0.1108928
Log-SGD,101,4,0.645004178485515,33.2656630807026,0.458318020787606,15295.237942699,0.1069727
Log-SGD,127,4,0.638655810481509,33.3515762880884,0.457857491380597,14135.4042390275,0.1077818
Full whitening,2,4,0.675182057823354,32.8684957847622,0.530405260294693,17375.5001816116,0.1026672
Full whitening,5,4,0.660358987920527,33.0613117777655,0.503476944342415,15841.8109173666,0.1022112
Full whitening,13,4,0.653287974703901,33.154820361668,0.49388002979582,15799.5754597521,0.1187658
Full whitening,17,4,0.670118175760323,32.9338856916043,0.521176083848467,15733.7347082472,0.120484
Full whitening,23,4,0.653259100807779,33.1552042674297,0.493464041689472,14881.5339126301,0.1147104
Full whitening,31,4,0.658099285962849,33.0910852509598,0.507052483201635,15635.0071818711,0.1119574
Full whitening,43,4,0.666181968571727,32.98505617192,0.512357312412153,16558.665374103,0.117291
Full whitening,59,4,0.661161292310621,33.0507652453381,0.504369481128407,15545.8926685576,0.1098168
Full whitening,73,4,0.665650803849593,32.9919844267221,0.510163415962515,16653.4801818808,0.1120698
Full whitening,89,4,0.663519123732461,33.0198447532782,0.509048622891064,15545.7046855583,0.1180212
Full whitening,101,4,0.607554337566242,33.7852111265978,0.426990922392564,15450.0903314112,0.1205394
Full whitening,127,4,0.658433342838987,33.0866773370841,0.49964610703885,14688.952650303,0.1167112
Half whitening,2,4,0.622705558735362,33.5712587912636,0.453644272572649,16536.5758971947,0.1145565
Half whitening,5,4,0.625975070275768,33.5257728909462,0.45188566616136,15275.832790635,0.1103277
Half whitening,13,4,0.629831533022362,33.4724256398335,0.457239861017028,15444.1393397591,0.1175848
Half whitening,17,4,0.626001472139508,33.5254065523337,0.455060410552995,14971.6540936475,0.1339933
Half whitening,23,4,0.624374602185449,33.5480090655143,0.449390757932493,14495.2724120734,0.1106649
Half whitening,31,4,0.623078811758192,33.5660539825709,0.454319437396178,15101.8898819101,0.1112666
Half whitening,43,4,0.626716360578463,33.5154929986248,0.453698707770299,15943.112876621,0.1032178
Half whitening,59,4,0.623642606392752,33.5581980843136,0.448485667992185,14959.6454823347,0.1174527
Half whitening,73,4,0.628977293921973,33.4842142888016,0.454063022289415,16066.4414855147,0.1030866
Half whitening,89,4,0.624075187054257,33.5521753313228,0.449802561486567,14836.7032389658,0.1074831
Half whitening,101,4,0.629451962716754,33.4776618013418,0.455081985045646,15445.2637658823,0.1096244
Half whitening,127,4,0.632497561871424,33.4357365278116,0.460488123150406,14334.0816264013,0.1083624
SCR-RL,2,4,0.487437580367293,35.6985334569705,0.365160628804429,14266.4465557401,0.0589306
SCR-RL,5,4,0.489431661769677,35.6630724263621,0.366641723216061,13068.103013693,0.0592346
SCR-RL,13,4,0.478243898213408,35.8639248890424,0.348764978147482,13222.4378076327,0.0614657
SCR-RL,17,4,0.476892024950322,35.8885124467377,0.356326783036845,12631.283553124,0.06075
SCR-RL,23,4,0.469112904735442,36.0313660421078,0.346251157069259,12240.4649296656,0.0622143
SCR-RL,31,4,0.490797164294648,35.6388727464728,0.370422451427076,12857.3674721712,0.0538433
SCR-RL,43,4,0.468527838416923,36.0422056353535,0.343373366463147,13696.7157154267,0.0536827
SCR-RL,59,4,0.482619460610394,35.7848170441115,0.358780641740132,12706.6839330393,0.05296
SCR-RL,73,4,0.504396635213071,35.401470027397,0.377806153722917,13768.2099869055,0.0522237
SCR-RL,89,4,0.468899019705154,36.0353271469768,0.348565768514305,12537.2383778929,0.0567122
SCR-RL,101,4,0.478225643966933,35.8642564299087,0.35027969533647,13143.2875143032,0.0588959
SCR-RL,127,4,0.46824489352647,36.0474526458247,0.347199231387483,12072.8931321191,0.0582465
