Method,FixedIteration,N,MeanNRMSE,CI95HalfWidth,SDNRMSE,MedianNRMSE,Q1NRMSE,Q3NRMSE,MeanPSNRdB,MeanSupportSpectrumError,MeanPoissonNLL,MeanElapsedSeconds
SCR-RL,4,12,0.480235727147478,0.0071414909120901,0.0112398986833845,0.478234771090171,0.469005962220298,0.488434621068485,35.8299842447721,0.3566310482388,13017.5943326428,0.0574299583333333
OMW,4,12,0.619522597770147,0.00863547171970533,0.0135912554405692,0.615776616393651,0.612551137493242,0.633389362346275,33.6176827658619,0.407372294565647,13506.2059405277,0.0469879333333333
Half whitening,4,12,0.626444001721022,0.00198272215830888,0.00312058034534011,0.625988271207638,0.623858896723505,0.629214628319363,33.5193671628899,0.453596706113935,15284.2177409116,0.112301733333333
Log-SGD,4,12,0.631179205084797,0.0156074404864564,0.0245643454474945,0.6404523245679,0.63658439944415,0.644859206646284,33.4601656001246,0.446515309701405,15052.818446118,0.106785775
RL,4,12,0.63918060376652,0.00293075092864391,0.00461267036669122,0.639098421931703,0.636043891187822,0.641226323605557,33.3446489515336,0.457326465789647,14287.5009211022,0.047802125
Full whitening,4,12,0.657733870987364,0.0108409038353685,0.0170623560606332,0.660760140115574,0.655693630333375,0.66591638621066,33.0986951829275,0.501002558749838,15809.1623544411,0.11377045
Damped Newton,4,12,0.691994279571165,0.00250069944193416,0.00393581798407834,0.69103477774857,0.689320126528344,0.694903281849854,32.6549922689283,0.510302928336325,14820.9245602087,1.42078880833333
